Marca temporal,Años de experiencia profesional ,  Nivel de formación  ,Área de desempeño,  Tipo de servicio que atiende  ,  Experiencia en manejo de pacientes con Parkinson  ,"  Desde su experiencia clínica, ¿qué aspectos de la evaluación fisioterapéutica considera indispensables para orientar la intervención dirigida a la prevención de caídas en pacientes con enfermedad de Parkinson en fase temprana?  ",Entrevista: Guía de intervención mediada por tecnología para prevención de caídas en Parkinson temprano,"  ¿Ha utilizado ayudas o recursos tecnológicos dentro de los planes de tratamiento orientados a la prevención de caídas en pacientes con Parkinson en fase temprana? En caso afirmativo, ¿cuáles ha utilizado y cómo los ha aplicado?  ","  ¿Conoce alguna guía o protocolo de intervención que incluya el uso de tecnologías para el manejo fisioterapéutico de pacientes con Parkinson en fase temprana orientado a la prevención de caídas? En caso afirmativo, ¿cuál o cuáles?  ",  ¿Qué tipo de herramientas tecnológicas considera que debería incluir una guía de intervención dirigida a fisioterapeutas para prevenir caídas en pacientes con Parkinson en fase temprana?  ,  ¿Desea agregar alguna recomendación u observación adicional que considere importante para el diseño de una guía de intervención orientada a la prevención de caídas en pacientes con Parkinson en fase temprana?  
28/03/2026 12:06:21,28,Maestría,Abordaje desde la perspectiva de discapacidad,"Ambulatorio, Domiciliario",6-10 años,"En coherencia con mi experiencia alrededor de 15 años en el abordaje de las personas con discapacidad y sus familias y la actual exigencia y requerimiento de parte de estas comunidades poblacionales desde los modelos médicos-rehabilitadores y biopsicosocial al modelo social y enfoque de derechos, donde también encontramos a las personas con enfermedad de Parkinson con restricciones a la participación y a su derecho de toma de decisiones y autodeterminación, la evaluación fisioterapéutico en fase temprana, no puede limitarse únicamente a identificar déficits o deficiencias de la estructura y función corporal y a las limitaciones funcionales, sino que debe reconocer a la persona como sujeto de derechos, con capacidad de participación, autonomía y toma de decisiones informadas. En ese sentido, más que evaluar solo el “riesgo de caída”, es indispensable comprender cómo las condiciones del entorno, las barreras sociales y las oportunidades de participación influyen en dicho riesgo. La exigencia de trascender el análisis de la exclusividad de las alteraciones del movimiento y sus limitaciones funcionales hacia un enfoque integral hacia un potencial de salud que parte del reconocimiento y conocimiento del diagnóstico médico sumado al prioritario conocimiento del contexto social-cultural-económico para su desarrollo humano.  El trabajo más fuerte que debe realizar el gremio, que todo el sector salud incluyéndonos como fisioterapeutas y la sociedad en general, reconozca todo el potencial social, ético y político del ejercicio profesional que tenemos para transformar las personas y sociedades en torno a la diversidad corporal y sus expresiones subjetivas y objetivas, nuestra razón de ser de estudio y ejercicio profesional. Desde la particularidad del riesgo de caída se considera los siguientes aspectos: evaluación del control postural y el equilibrio estático y dinámico con el fin de identificar alteraciones tempranas para las actividades diarias y su estabilidad; análisis de la marcha desde la cinética y cinemática, no debe reducirse al análisis descriptivo y capacidad de adaptación a cambios del entorno, dado que estos elementos son predictores relevantes de caídas; valoración de la fuerza muscular y coordinación; evaluación de funciones cognitivas relacionadas con la doble tarea (la interacción entre lo motor y lo cognitivo incrementa el riesgo de caídas en contextos reales); identificación de factores ambientales y sociales, tales como barreras arquitectónicas, apoyo familiar y acceso a recursos, resaltando que dicho aumento de riesgo de caída también depende de su interacción con el entorno. En esta evaluación, también es relevante valorar la percepción de la autoeficacia y su relación con el miedo a caer por su impacto en la restricción a la participación y la participación en la toma de decisiones donde debe vincular la red social de apoyo más íntima, próxima y cercana debido a su impacto a la vida independiente y seguridad en casa y la exploración de la educación en familia ante la condición de salud. ","Fortalece el cambio de paradigma hacia una perspectiva de derechos, autonomía y participación; es decir, aumenta la posibilidad de promoción de la autonomía y el autocuidado, vida independiente que, debería ser el fin último de todo proceso de rehabilitación dentro del contexto natural de la persona, no desde la mirada del espacio del consultorio donde realiza la intervención fisioterapéutica, exige por ende, que seamos más creativos de simular ese espacio natural de la persona con su diagnóstico EP en consultorios y en lo posible tener tiempos de estos procesos en dichos contextos propios de la persona con EP. Esto implica explorar más allá de lo que vemos socialmente, de tecnologías de baja a alta complejidad existentes en la región; además, en el espacio natural o real de la persona con EP.  Mediar con tecnología, si bien es cierto requiere recursos financieros y humanos capacitados para su administración, gestión y enseñanza de su aplicación, no es excusa en el análisis de contexto de identificar el tipo de tecnología existente para crear las actividades y acciones que lleven a preparar, educar el movimiento y practicas según requerimientos de la persona con EP. ","Primero se precisa que existe recursos o ayudas técnicas y recursos o ayudas tecnológicas.  Muy frecuente que nos encontremos con recursos y ayudas técnicas para la movilidad, desde esta perspectiva, SI, se incorpora en el proceso de rehabilitación para la prevención de caídas en personas con EP. Ahora, frente a las tecnologías, exclusivamente me he vinculado después de una valoración del contexto con ayudas o recursos tecnológicos presentes en casa de la persona, siempre han sido de baja complejidad, sobre todo en contexto socioeconómicos de 0 a 3 según estrato.  Para el caso concreto de riesgo de caídas, se educa y se ha realizado acciones afirmativas y ajustes razonables enfocadas en: iluminación adecuada con sensores de movimiento, eliminación de obstáculos o adaptabilidad de la vivienda desde la distribución de los muebles y otros que están presentes en casa, con mayor dificultad cuando las piezas se ubican en un segundo piso, se plantea el requerimiento del traslado a un primer piso, uso de sillas con apoyabrazos o un caminador que le permita mantener su estabilidad y movilizarse que va muy de la mano según evaluación de la deficiencia como de la valoración en cuanto a la percepción de la persona y la red de apoyo social que tiene; barras de apoyo en baños y pasamanos. También empleo señales visuales en el suelo (líneas o marcas) para facilitar la iniciación de la marcha. El uso de colchonetas y cojines antiescaras, las más frecuentes que he empleado. Respecto a tecnologías de mediana complejidad, he implementado aplicaciones móviles y he buscado algunos programas en computador para que puedan adquirir o bajar gratuitamente (aunque ya no hay tantos ahora) e instalar en el computador, enfatizado más en el entrenamiento cognitivo-estabilidad en tronco desde posición sedente.  Alguna vez llevamos a la persona a un espacio de juegos que existen en los centros comerciales, para que realizara alguna actividad en sedente y posición de pie, sería buena alternativa, solo que sería fundamental, realizar articulación con estos espacios con fines específicos por horas o días, que impactaría profundamente el cambio de paradigma desde la inclusión social y los derechos de la persona y la sociedad en conjunto para su convivencia y cuidado conjunto con estas condiciones de salud y muchas más.  Con alta complejidad no tengo experiencia suficiente en estas condiciones específicas. ","En nuestro ámbito, hay propuestas, habría que evaluar su calidad metodológica y de contenido.  Sin embargo, es positivo el interés de indagación en este aspecto, sobre lo cual si hay muchas experiencias desde revisiones sistemáticas e investigaciones descriptivas y exploratorias. Las organizaciones de personas con EP o interesados en estas condiciones hay promovido guías, protocolos.  Entre ellas, consulto: la guía de EP fisioterapéutica europea (hay que revisar su actualización o su página con aportes fundamentales), y la página de la asociación de enfermedad de Parkinson americana.  ","Considero que todas las herramientas tecnológicas aportan y algunas tienen evidencia científica o vienen en este proceso; sin embargo, el análisis contextual (factores sociales e individuales) es fundamental para aprender a determinar la pertinencia y toma de decisión que sería más conveniente.  El énfasis de la valoración de los entornos naturales de una persona con EP es fundamental, no puede quedarse solo desde la consideración de la evidencia científica, debido al impacto en el recurso financiero y humano para su adecuada aplicación y objetivo en relación a la inclusión social, vida independiente y autodeterminación y toma de decisión. Importante reconocer e identificar las herramientas técnicas y tecnológicas de bajo, mediano, y alto impacto y su pertinencia para el espacio o espacios naturales o habituales de la persona con EP, la familia y la sociedad.  Una acción aún que debemos realizar para su impacto en la sociedad y el cuidado conjunto como sociedad.  De nada vale la existencia de un recurso costoso en equipo y humano, sino no es fundamentado desde los contextos reales con sus acciones reales y naturales o habituales. ","Una guía efectiva no solo debe prevenir caídas, sino también contribuir a preservar la dignidad, la independencia y la participación activa de las personas con Parkinson en su vida cotidiana.  Sí, considero fundamental que una guía de intervención para la prevención de caídas en personas con enfermedad de Parkinson en fase temprana incorpore un enfoque integral, centrado en la persona y basado en derechos, más allá de una visión exclusivamente funcional. Las intervenciones comienzan con una muy buena evaluación de la persona desde su condición de salud específica y una muy buena valoración de su contexto social, sin estos aspectos, lo que se deja solo en la intervención de aplicación de estrategias o técnicas queda en desfase, un buen documento, pero desfasado como muchos que existen. En primer lugar, recomendaría que la guía contemple la individualización de las intervenciones, teniendo en cuenta no solo las características clínicas, sino también el contexto social, ambiental y las preferencias del paciente, promoviendo su participación activa en la toma de decisiones. En este sentido, la definición de las pruebas, test, medidas, instrumentos de valoración contextual son fundamentales en clave de derechos y modelo social o una reinterpretación de los resultados hacia dicho paradigma.  Segundo, es clave integrar de manera progresiva y accesible el uso de tecnologías según niveles de complejidad (baja, media y alta), asegurando que estas sean pertinentes al entorno del usuario y no generen barreras adicionales, es un medio para potenciar la autonomía, el autocuidado y el seguimiento continuo. También es importante que la guía incluya componentes de educación al paciente y a la familia, orientados a la identificación de riesgos, adaptación del entorno y fortalecimiento de la autoeficacia, ya que estos elementos inciden directamente en la adherencia y en la prevención de caídas. Se sugiere, incorporar estrategias de seguimiento y evaluación continua, incluyendo modalidades como la telerehabilitación, que permitan monitorear la evolución del paciente y ajustar las intervenciones de manera oportuna. Fundamental, promover la interdisciplinariedad y la articulación con redes de apoyo, favoreciendo la inclusión social y garantizando el acceso equitativo a los servicios de rehabilitación."
30/03/2026 9:32:51,11,Maestría,Fisioterapia infantil ,Domiciliario,Menos de 1 año,"En pacientes con enfermedad de Parkinson en fase temprana, la evaluación fisioterapéutica orientada a la prevención de caídas debe ser integral y enfocarse en la detección precoz de alteraciones sutiles. Es indispensable valorar el control postural y el equilibrio, incluyendo las reacciones anticipatorias y compensatorias, así como las estrategias utilizadas para mantener la estabilidad. Asimismo, se debe analizar la marcha, considerando aspectos como la longitud del paso, el braceo, los cambios de dirección y el desempeño en condiciones de doble tarea.",no comprendo esta parte ,"Sí, dentro de los planes de tratamiento para la prevención de caídas en pacientes con enfermedad de Parkinson en fase temprana, se han utilizado diversas ayudas y recursos tecnológicos como complemento a la intervención fisioterapéutica. Entre ellos se incluyen señales auditivas (metrónomos o aplicaciones móviles) para mejorar el ritmo y la longitud del paso durante la marcha, así como señales visuales (líneas en el suelo o láser en dispositivos) para facilitar la iniciación del movimiento y disminuir episodios de freezing.

Asimismo, se emplean plataformas de equilibrio y sistemas de biofeedback que permiten al paciente tomar conciencia de su control postural y ajustar su estabilidad en tiempo real. También se han incorporado programas de ejercicio mediante realidad virtual o videojuegos terapéuticos, los cuales favorecen la adherencia, el entrenamiento del equilibrio y la coordinación en entornos seguros y motivantes.","Sí. Existen guías y recomendaciones para la prevención de caídas en pacientes con Parkinson, como las derivadas de revisiones tipo Cochrane Collaboration y consensos internacionales sobre prevención de caídas. Estas incluyen intervenciones multimodales basadas en ejercicio terapéutico, entrenamiento de equilibrio y educación. Además, incorporan el uso de tecnologías como realidad virtual, dispositivos de monitoreo y sistemas de detección de caídas como complemento en la intervención fisioterapéutica, especialmente en fases tempranas de la enfermedad.","Considero que una guía de intervención debería incluir herramientas como realidad virtual y videojuegos terapéuticos para el entrenamiento del equilibrio y la marcha; dispositivos portátiles (wearables) para el monitoreo del movimiento y detección de caídas; aplicaciones móviles para el seguimiento de ejercicios y adherencia al tratamiento; plataformas de telerehabilitación para el acompañamiento remoto; y sistemas de biofeedback que faciliten la corrección postural y el control motor. Estas tecnologías permitirían complementar la intervención fisioterapéutica, favoreciendo la prevención de caídas desde un enfoque activo, personalizado y basado en la evidencia.","Se recomienda que la guía tenga un enfoque integral y personalizado, considerando no solo los aspectos motores, sino también factores cognitivos, emocionales y del entorno. Es importante incluir educación al paciente y la familia, estrategias de adherencia al tratamiento y evaluación del riesgo de caídas de manera periódica. Asimismo, se sugiere integrar el uso de tecnologías como complemento, pero no como sustituto de la intervención fisioterapéutica, y promover programas de ejercicio basados en la evidencia que incluyan entrenamiento de equilibrio, marcha y doble tarea. Finalmente, es clave que la guía sea práctica, aplicable en diferentes contextos y adaptable a los recursos disponibles."
30/03/2026 20:27:54,14,Maestría,Neurorehabilitación ,Ambulatorio,Más de 10 años,"Basándonos en el modelo de la APTA (American Physical Therapy Association) y el marco de la CIF (Clasificación Internacional del Funcionamiento, de la Discapacidad y de la Salud), la evaluación no solo debe centrarse en los síntomas motores clásicos, sino en cómo estos interactúan con el entorno del paciente. Dentro de la evaluación es importante todo lo que abarca el control postural, balance, rango de movimiento, desempeño muscular, integridad refleja, marcha, función motora, autocuidado. ",¿?,No ,No ,"Gamificación y realidad virtual (sistemas de inversión no inmersiva y/o entrenamiento en doble tarea), Biofeedback. ","Al redactar la guía, te sugiero enfatizar que la tecnología no reemplaza al clínico, sino que potencia su capacidad de diagnóstico. En la fase temprana, el objetivo de estas herramientas debe ser el ""Enriquecimiento Ambiental"": someter al sistema nervioso a retos variados y constantes para retrasar la aparición de los síntomas motores severos."
